GDD5,MTCO,Abies,Alnus,Betula,Picea,Pinus D,Quercus D,Gramineae
2867,3.4,1,0,0,0,109,96,26
3264,4.6,0,0,0,0,124,16,350
3032,4.1,0,0,0,0,28,529,21
3023,4,0,0,0,0,33,71,25
3022,4,0,0,0,0,25,17,16
3022,4,1,0,0,0,30,644,13
3016,4,0,4,0,0,141,437,54
3022,4,2,2,0,0,83,215,49
3147,3,0,0,0,0,108,7,548
4090,5.6,0,0,0,0,94,51,645
4391,6.5,0,2,0,0,37,10,787
4877,9.6,0,6,0,0,323,16,17
4871,9.6,0,8,0,0,636,3,6
4865,9.5,0,7,0,0,935,2,2
4850,9.4,0,2,0,0,532,6,2
4850,9.4,0,1,0,0,915,5,3
